Date,Product,Category,Region,Sales,Quantity,Discount,Profit,Customer_Age,Rating
2024-01-05,Widget A,Electronics,North,1250.50,10,0.05,312.63,34,4.5
2024-01-08,Widget B,Electronics,South,890.00,7,0.10,178.00,28,3.8
2024-01-12,Gadget X,Home & Garden,East,2340.75,15,0.00,702.23,45,4.9
2024-01-15,Widget A,Electronics,West,1100.25,9,0.05,275.06,31,4.2
2024-01-18,Gadget Y,Home & Garden,North,560.00,4,0.15,84.00,52,3.5
2024-01-22,Widget C,Electronics,South,3200.00,20,0.00,960.00,38,4.7
2024-01-25,Tool Alpha,Tools,East,450.30,3,0.20,67.55,41,3.9
2024-01-28,Gadget X,Home & Garden,West,1870.50,12,0.05,467.63,29,4.6
2024-02-01,Widget A,Electronics,North,1450.75,11,0.05,362.69,36,4.4
2024-02-04,Tool Beta,Tools,South,780.00,6,0.10,156.00,44,4.0
2024-02-07,Widget B,Electronics,East,920.50,8,0.10,184.10,33,3.7
2024-02-10,Gadget Y,Home & Garden,West,490.00,3,0.15,73.50,48,3.3
2024-02-14,Widget C,Electronics,North,3450.25,22,0.00,1035.08,27,4.8
2024-02-17,Tool Alpha,Tools,South,520.00,4,0.20,78.00,39,4.1
2024-02-20,Gadget X,Home & Garden,East,2100.00,14,0.05,525.00,50,4.5
2024-02-23,Widget A,Electronics,West,,8,0.05,237.53,35,4.3
2024-02-26,Widget B,Electronics,North,850.75,7,0.10,170.15,30,3.6
2024-03-01,Gadget Y,Home & Garden,South,620.30,5,0.15,93.05,46,3.7
2024-03-04,Widget C,Electronics,East,2980.00,19,0.00,894.00,32,4.6
2024-03-07,Tool Beta,Tools,West,690.50,5,0.10,138.10,43,3.8
2024-03-10,Widget A,Electronics,North,1380.00,11,0.05,345.00,,4.5
2024-03-13,Gadget X,Home & Garden,South,2450.75,16,0.00,735.23,47,4.8
2024-03-16,Tool Alpha,Tools,East,410.00,3,0.20,61.50,40,3.6
2024-03-19,Widget B,Electronics,West,980.25,8,0.10,196.05,26,4.0
2024-03-22,Widget C,Electronics,North,3100.50,20,0.00,930.15,37,4.7
2024-03-25,Gadget Y,Home & Garden,South,,4,0.15,78.00,51,3.4
2024-03-28,Widget A,Electronics,East,1520.00,12,0.05,380.00,33,4.4
2024-04-01,Tool Beta,Tools,West,820.75,6,0.10,164.15,42,4.2
2024-04-04,Widget B,Electronics,North,870.00,7,0.10,174.00,29,3.9
2024-04-07,Gadget X,Home & Garden,South,2280.50,15,0.05,570.13,49,4.7
2024-04-10,Widget C,Electronics,East,3350.25,21,0.00,1005.08,35,4.8
2024-04-13,Tool Alpha,Tools,West,480.00,3,0.20,72.00,38,3.7
2024-04-16,Widget A,Electronics,North,1290.50,10,0.05,322.63,31,4.3
2024-04-19,Gadget Y,Home & Garden,East,540.75,4,0.15,81.11,53,3.6
2024-04-22,Widget B,Electronics,South,950.00,8,0.10,190.00,27,3.8
2024-04-25,Widget C,Electronics,West,3180.75,20,0.00,954.23,36,
2024-04-28,Gadget X,Home & Garden,North,2150.00,14,0.05,537.50,46,4.6
2024-05-01,Tool Beta,Tools,South,750.30,5,0.10,150.06,41,4.0
2024-05-04,Widget A,Electronics,East,1410.00,11,0.05,352.50,34,4.5
2024-05-07,Widget B,Electronics,West,910.50,7,0.10,182.10,30,3.7
2024-05-10,Gadget Y,Home & Garden,North,580.00,4,0.15,87.00,50,3.5
2024-05-13,Widget C,Electronics,South,3500.00,22,0.00,1050.00,38,4.9
2024-05-16,Tool Alpha,Tools,East,460.25,3,0.20,69.04,43,3.8
2024-05-19,Gadget X,Home & Garden,West,2380.50,15,0.00,714.15,48,4.7
2024-05-22,Widget A,Electronics,North,1350.75,10,0.05,337.69,32,4.4
2024-05-25,Widget B,Electronics,South,890.00,7,0.10,178.00,28,3.6
2024-05-28,Widget C,Electronics,East,3020.00,19,0.00,906.00,35,4.6
2024-06-01,Tool Beta,Tools,West,810.50,6,0.10,162.10,44,4.1
2024-06-04,Gadget Y,Home & Garden,North,610.25,5,0.15,91.54,52,3.4
2024-06-07,Widget A,Electronics,South,,9,0.05,287.56,36,4.3
2024-06-10,Gadget X,Home & Garden,East,2200.75,14,0.05,550.19,47,4.8
2024-06-13,Widget C,Electronics,West,3280.00,21,0.00,984.00,33,4.7
2024-06-16,Tool Alpha,Tools,North,440.50,3,0.20,66.08,40,3.9
2024-06-19,Widget B,Electronics,South,930.25,8,0.10,186.05,29,3.8
2024-06-22,Widget A,Electronics,East,1480.00,12,0.05,370.00,34,4.5
2024-06-25,Gadget Y,Home & Garden,West,530.00,4,0.15,79.50,51,3.3
2024-06-28,Widget C,Electronics,North,3420.50,22,0.00,1026.15,37,4.9
2024-06-28,Widget C,Electronics,North,3420.50,22,0.00,1026.15,37,4.9
2024-07-01,Tool Beta,Tools,South,770.75,5,0.10,154.15,42,4.0
2024-07-04,Gadget X,Home & Garden,East,2320.00,15,0.05,580.00,49,4.6
2024-07-07,Widget A,Electronics,West,1200.50,9,0.05,300.13,31,4.2
